rg,rn,ta,vpd,swc,ts,rh,pm2_5,pm2_5_raw,pm2_5_pred
1.04542,-70.9504,-0.445,431.125,0.169903,2.2,21.2869,34.6378,,
1.0486,-70.858,0.158,449.473,0.169583,2.2,20.5899,34.5945,,
1.04583,-69.7698,-1.692,378.912,0.169483,2.2,24.7565,34.5512,,
1.03936,-70.7386,-2.385,356.947,0.170115,2.2,25.8576,29.3988,,
1.05178,-67.4305,-0.781,413.865,0.169897,2.2,22.0081,24.2464,,
1.04828,-70.1209,-1.2,400.046,0.169726,2.293,22.868,24.231250000000003,,
1.04245,-70.7945,-1.409,385.694,0.170256,2.3,23.9895,24.2161,,
1.04589,-71.4578,-1.023,399.152,0.169847,2.3,23.4772,20.5943,,
1.05231,-70.8968,-1.35,388.196,0.169931,2.3,23.9667,16.9725,,
1.04225,-69.2329,-1.873,368.699,0.169709,2.3,24.9332,16.9513,,
1.0475,-69.6592,-2.444,352.774,0.169587,2.3,25.6739,16.9301,,
1.05207,-69.073,-2.28,356.896,0.169786,2.3,25.2668,14.4054,,
1.05498,-69.1752,-2.721,344.34,0.169633,2.3,25.9844,11.8807,,
1.03952,-67.7011,-2.863,337.94,0.169983,2.3,26.3615,11.87325,,
1.05754,-67.8423,-3.08,331.045,0.17006,2.3,26.8465,11.8658,,
1.06787,-66.9825,-3.178,325.933,0.170212,2.24,27.281,10.09115,,
7.28748,-62.6034,-3.192,327.552,0.169697,2.2,27.0559,8.3165,,
27.5275,-47.3535,-3.376,321.652,0.170022,2.2,27.6492,8.3061,,
47.9309,-32.5326,-3.573,316.538,0.170189,2.2,28.4698,8.2957,,
145.032,94.9908,-2.485,366.835,0.170156,2.2,25.5544,7.05865,,
225.49,166.879,-1.22,405.627,0.169345,2.2,24.3593,5.8216,,
286.203,221.314,-0.689,442.031,0.169428,2.2,24.1561,5.8143,,
331.55,265.655,-0.468,464.061,0.16951,2.2,22.9749,5.807,,
373.567,303.162,0.058,480.877,0.169744,2.2,22.2976,4.941050000000001,,
389.186,317.763,0.685,502.202,0.169876,2.2,21.3011,4.0751,,
427.097,343.649,1.238,538.728,0.169977,2.2,19.7422,4.07,,
412.905,312.373,1.881,582.128,0.169669,2.2,18.9046,4.0649,,
397.457,285.685,2.482,594.525,0.169163,2.2,18.3505,3.45875,,
351.975,238.38,2.495,596.427,0.169674,2.2,18.0532,2.8526,,
321.462,212.201,2.703,604.544,0.169258,2.2,17.7288,2.849,,
276.526,165.017,3.011,595.149,0.169204,2.2,17.9267,2.8454,,
