TIMESTAMP,rg_RF,rn_RF,ta_RF,vpd_RF,swc_RF,ts_RF,rh_RF,pm2_5_RF,pm2_5_FLAG,rg_RE,rn_RE,ta_RE,vpd_RE,rh_RE,swc_RE,ts_RE,pm2_5_RE
2024-03-28 00:00:00,,,,,,,,,,1.58995,-34.3991,12.602,921.65,33.561,0.183413,9.0,9.728557558
2024-03-28 00:30:00,,,,,,,,,,1.57793,-38.1329,14.203,1342.61,11.7516,0.183279,9.0,11.04663462
2024-03-28 01:00:00,,,,,,,,,,1.27222,-52.1649,13.624,1337.2,8.69598,0.184003,9.0,9.148982895
2024-03-28 01:30:00,,,,,,,,,,1.34368,-61.9467,12.63,1260.6,7.68787,0.183225,9.0,8.668651408
2024-03-28 02:00:00,,,,,,,,,,1.29278,-61.8102,11.79,1189.95,8.21665,0.183194,9.0,9.164067416
2024-03-28 02:30:00,,,,,,,,,,1.24226,-60.7216,11.239,1140.71,8.90741,0.183526,9.0,9.124595652
2024-03-28 03:00:00,,,,,,,,,,1.27721,-58.2875,10.829,1106.42,8.99597,0.183926,9.0,9.203939011
2024-03-28 03:30:00,,,,,,,,,,1.27852,-60.0316,10.409,1074.33,9.19312,0.18387,9.0,8.902785417
2024-03-28 04:00:00,,,,,,,,,,1.25101,-62.2805,10.032,1038.11,9.87008,0.183547,9.0,8.613596569
2024-03-28 04:30:00,,,,,,,,,,1.26007,-66.9215,9.647,1016.17,9.25662,0.183057,9.0,8.561530556
2024-03-28 05:00:00,,,,,,,,,,1.26075,-70.4986,9.262,999.582,8.31429,0.1832,9.0,8.046878155
2024-03-28 05:30:00,,,,,,,,,,1.25786,-75.8669,8.761,963.572,8.06242,0.18372,9.0,6.725123762
2024-03-28 06:00:00,,,,,,,,,,1.33437,-82.5687,8.173,926.565,7.72038,0.18363,9.0,4.463808602
2024-03-28 06:30:00,,,,,,,,,,8.00602,-79.9076,7.5,877.664,8.7299,0.183614,9.0,4.822374519
2024-03-28 07:00:00,,,,,,,,,,33.1586,-52.839,7.018,844.476,9.53324,0.183296,9.0,4.291526147
2024-03-28 07:30:00,,,,,,,,,,61.2362,-23.3713,6.448,808.184,10.6099,0.183539,8.903,1.698
2024-03-28 08:00:00,,,,,,,,,,104.401,25.1242,6.3,810.683,10.1441,0.183166,8.9,1.698
2024-03-28 08:30:00,,,,,,,,,,281.993,248.945,6.727,869.946,8.95905,0.183237,8.9,1.698
2024-03-28 09:00:00,,,,,,,,,,373.891,346.393,7.008,888.71,8.78918,0.183559,8.9,1.5789
2024-03-28 09:30:00,,,,,,,,,,463.796,432.395,7.408,927.547,8.54919,0.183373,8.9,1.698
2024-03-28 10:00:00,,,,,,,,,,558.01,511.382,8.182,972.718,8.64971,0.183361,8.9,1.698
2024-03-28 10:30:00,,,,,,,,,,633.07,578.845,8.55,1009.26,8.12269,0.183294,8.837,1.698
2024-03-28 11:00:00,,,,,,,,,,709.058,630.039,9.327,1064.8,7.52409,0.183063,8.8,1.698
2024-03-28 11:30:00,,,,,,,,,,759.973,669.763,9.831,1103.04,7.14038,0.183924,8.8,1.698
2024-03-28 12:00:00,,,,,,,,,,792.764,689.052,10.406,1168.2,6.91029,0.183392,8.8,1.698
2024-03-28 12:30:00,,,,,,,,,,751.676,655.868,11.019,1213.74,6.80561,0.183514,8.8,6.349861111
2024-03-28 13:00:00,,,,,,,,,,734.386,621.224,11.465,1206.95,6.85159,0.183093,8.77,9.898246667
2024-03-28 13:30:00,,,,,,,,,,621.209,504.916,11.752,1223.25,6.84535,0.183236,8.7,9.039880769
2024-03-28 14:00:00,,,,,,,,,,615.089,483.832,12.355,1275.41,6.62003,0.183232,8.7,8.022911111
2024-03-28 14:30:00,,,,,,,,,,704.701,552.025,13.333,1361.79,6.73088,0.183336,8.7,4.70208
2024-03-28 15:00:00,,,,,,,,,,558.567,437.461,13.74,1390.19,7.48999,0.183425,8.7,7.097659091
2024-03-28 15:30:00,,,,,,,,,,431.706,337.52,14.272,1453.87,7.35217,0.182906,8.7,5.2817625
2024-03-28 16:00:00,,,,,,,,,,352.711,260.043,14.4,1458.02,7.76329,0.184,8.7,7.783788889
2024-03-28 16:30:00,,,,,,,,,,326.479,227.654,14.784,1479.91,8.42812,0.183588,8.7,7.783788889
2024-03-28 17:00:00,,,,,,,,,,259.029,176.766,15.145,1533.44,7.92308,0.183166,8.7,10.09071667
2024-03-28 17:30:00,,,,,,,,,,106.896,29.3631,14.713,1437.17,9.10622,0.183162,8.7,9.057477778
2024-03-28 18:00:00,,,,,,,,,,46.6842,-33.0794,14.198,1369.72,9.20921,0.182844,8.73,11.58390213
2024-03-28 18:30:00,,,,,,,,,,16.2178,-60.0857,13.482,1263.88,11.3229,0.183746,8.8,8.620894681
2024-03-28 19:00:00,,,,,,,,,,1.62526,-52.8794,12.979,1249.07,10.5265,0.183812,8.8,10.4557
2024-03-28 19:30:00,,,,,,,,,,1.32271,-49.4527,13.127,1269.24,9.87375,0.183758,8.8,10.4557
2024-03-28 20:00:00,,,,,,,,,,1.30781,-46.3515,12.853,1245.83,10.338,0.183683,8.8,10.31229254
2024-03-28 20:30:00,,,,,,,,,,1.31595,-42.6483,12.711,1236.71,10.3849,0.183546,8.8,10.6197
2024-03-28 21:00:00,,,,,,,,,,1.31816,-37.1351,12.553,1239.81,9.53031,0.183014,8.8,10.67610203
2024-03-28 21:30:00,,,,,,,,,,1.32017,-34.4716,11.889,1132.38,13.8905,0.183132,8.83,9.821225287
2024-03-28 22:00:00,,,,,,,,,,1.31639,-34.5481,10.986,1036.86,16.3502,0.183021,8.9,10.257525
2024-03-28 22:30:00,,,,,,,,,,1.32416,-34.9465,10.854,1052.21,14.4376,0.182884,8.9,10.16926056
2024-03-28 23:00:00,,,,,,,,,,1.31341,-31.298,11.207,1094.74,12.7914,0.183546,8.9,10.29346494
2024-03-28 23:30:00,,,,,,,,,,1.31856,-29.3819,11.5,1113.82,12.8812,0.183681,8.9,10.29346494
2024-03-29 00:00:00,,,,,,,,,,1.3,-27.5999,11.282,1053.56,17.2892,0.18383,8.9,10.29346494
2024-03-29 00:30:00,,,,,,,,,,1.30326,-35.3486,11.694,1043.38,19.6185,0.183228,8.9,10.29346494
2024-03-29 01:00:00,,,,,,,,,,1.21603,-65.5156,11.479,974.846,23.4203,0.183848,8.9,10.37716105
2024-03-29 01:30:00,,,,,,,,,,1.18411,-70.4988,11.011,933.303,23.9887,0.18342,8.9,10.3617892
2024-03-29 02:00:00,,,,,,,,,,1.19885,-71.4931,10.722,920.227,23.1316,0.183624,8.9,10.0513414
2024-03-29 02:30:00,,,,,,,,,,1.18041,-71.8812,10.544,954.854,19.6213,0.183639,8.9,10.00794409
2024-03-29 03:00:00,,,,,,,,,,1.18334,-75.1875,10.439,987.691,16.1783,0.183919,8.9,10.20897
2024-03-29 03:30:00,,,,,,,,,,1.13675,-77.2951,10.147,988.82,14.4451,0.184023,8.9,10.12031406
2024-03-29 04:00:00,,,,,,,,,,1.04995,-75.5614,9.942,985.933,13.5975,0.183727,8.9,9.606566146
2024-03-29 04:30:00,,,,,,,,,,1.05414,-74.868,9.695,959.787,14.2358,0.183364,8.9,9.445166837
2024-03-29 05:00:00,,,,,,,,,,1.05494,-76.7081,9.471,948.609,13.9429,0.183423,8.9,9.078467188
2024-03-29 05:30:00,,,,,,,,,,1.10343,-82.9562,9.22,929.782,13.908,0.183639,8.9,8.654749468
2024-03-29 06:00:00,,,,,,,,,,1.11407,-88.3169,9.096,938.404,12.468,0.183346,8.9,7.860448913
2024-03-29 06:30:00,,,,,,,,,,8.55885,-86.5136,9.024,941.788,11.765,0.183689,8.837,8.765824742
2024-03-29 07:00:00,,,,,,,,,,30.0649,-69.6513,9.238,965.311,10.8142,0.183212,8.8,9.3780805
2024-03-29 07:30:00,,,,,,,,,,50.4507,-46.9668,9.257,971.507,10.8101,0.183612,8.8,13.94359615
2024-03-29 08:00:00,,,,,,,,,,105.049,22.5724,9.692,1010.87,10.6648,0.18444,8.8,14.47848
2024-03-29 08:30:00,,,,,,,,,,293.013,258.815,10.455,1106.52,10.5405,0.183582,8.8,10.64596429
2024-03-29 09:00:00,,,,,,,,,,395.731,358.747,11.492,1202.54,9.91013,0.183732,8.8,1.698
2024-03-29 09:30:00,,,,,,,,,,476.362,443.559,11.897,1248.41,9.543,0.183543,8.8,3.787625
2024-03-29 10:00:00,,,,,,,,,,577.466,519.18,12.235,1281.37,9.47419,0.183234,8.8,6.791705
2024-03-29 10:30:00,,,,,,,,,,647.073,577.829,13.318,1383.56,8.76285,0.183994,8.8,7.39042
2024-03-29 11:00:00,,,,,,,,,,713.407,620.8,14.102,1461.19,8.27483,0.18384,8.8,12.21943
2024-03-29 11:30:00,,,,,,,,,,768.103,643.207,14.499,1486.32,8.66455,0.184251,8.703,13.28899286
2024-03-29 12:00:00,,,,,,,,,,795.116,657.708,14.733,1504.61,9.03597,0.183482,8.7,1.698
2024-03-29 12:30:00,,,,,,,,,,751.569,657.03,15.167,1532.07,9.14576,0.183604,8.7,1.698
2024-03-29 13:00:00,,,,,,,,,,748.153,642.983,15.883,1554.08,9.80979,0.183545,8.7,10.9415
2024-03-29 13:30:00,,,,,,,,,,750.983,621.069,16.585,1612.75,9.76442,0.183563,8.7,1.698
2024-03-29 14:00:00,,,,,,,,,,728.195,590.688,16.939,1641.63,10.0261,0.18414,8.7,8.02288
2024-03-29 14:30:00,,,,,,,,,,714.798,550.334,17.111,1662.99,10.3101,0.183609,8.7,1.698
2024-03-29 15:00:00,,,,,,,,,,661.642,494.68,17.61,1707.98,10.2453,0.183503,8.7,1.698
2024-03-29 15:30:00,,,,,,,,,,594.26,426.367,17.772,1724.93,10.2852,0.183147,8.7,33.083475
2024-03-29 16:00:00,,,,,,,,,,508.617,345.914,17.985,1755.62,10.3292,0.183625,8.763,36.59312222
2024-03-29 16:30:00,,,,,,,,,,405.61,253.93,18.413,1807.3,10.269,0.183009,8.8,16.51313333
2024-03-29 17:00:00,,,,,,,,,,301.559,162.025,18.973,1931.82,9.6092,0.183196,8.8,22.1344
2024-03-29 17:30:00,,,,,,,,,,217.5,87.0727,19.133,1919.2,10.1942,0.183184,8.8,30.28143333
2024-03-29 18:00:00,,,,,,,,,,101.63,-12.8341,19.006,1853.41,10.7734,0.18392,8.83,45.785625
2024-03-29 18:30:00,,,,,,,,,,21.6861,-79.6762,18.527,1722.74,11.9102,0.1836,8.9,41.388775
2024-03-29 19:00:00,,,,,,,,,,2.66226,-89.5342,17.812,1619.82,12.7132,0.183805,8.9,30.59215
