record_time,rg,rn,ta,vpd,rh,swc,ts
2024/1/1 0:00,0.937008,-70.2052,-0.947,294.658,43.9214,0.18261,3.8
2024/1/1 0:30,0.94609,-68.7972,-2.557,234.387,50.9205,0.182608,3.8
2024/1/1 1:00,0.929527,-68.8334,-2.764,222.963,52.0586,0.182915,3.8
2024/1/1 1:30,0.927886,-67.8122,-3.243,209.767,53.5052,0.183072,3.8
2024/1/1 2:00,0.937879,-68.0891,-2.847,224.594,51.3854,0.182841,3.8
2024/1/1 2:30,0.927147,-67.074,-3.3,204.151,54.3842,0.182852,3.8
2024/1/1 3:00,0.931464,-67.1258,-3.736,188.354,56.4379,0.1832,3.8
2024/1/1 3:30,0.936657,-66.7307,-4.298,177.686,57.4544,0.183142,3.8
2024/1/1 4:00,0.937071,-65.1502,-4.281,178.145,57.2893,0.183216,3.8
2024/1/1 4:30,0.92735,-64.0137,-4.665,163.372,59.8069,0.183388,3.8
2024/1/1 5:00,0.934724,-62.7169,-4.751,163.133,59.5069,0.182969,3.8
2024/1/1 5:30,0.954673,-60.3551,-5.082,153.358,61.0598,0.183111,3.8
2024/1/1 6:00,0.932082,-58.7106,-5.356,145.671,62.3299,0.182965,3.8
2024/1/1 6:30,0.931123,-64.9539,-5.746,136.525,63.6921,0.182657,3.737
2024/1/1 7:00,0.926011,-64.954,-5.657,140.142,62.6446,0.183097,3.7
2024/1/1 7:30,0.928841,-65.1479,-5.724,139.392,62.7874,0.183826,3.7
2024/1/1 8:00,6.6185,-61.1912,-5.513,148.234,61.0718,0.182811,3.7
2024/1/1 8:30,27.7951,-42.2481,-5.613,142.938,62.3992,0.183459,3.7
2024/1/1 9:00,55.6561,-19.175,-5.809,145.054,62.154,0.182782,3.7
2024/1/1 9:30,111.24,57.8125,-5.683,157.97,59.9436,0.182952,3.7
2024/1/1 10:00,197.826,144.241,-3.799,220.688,51.5035,0.183064,3.7
2024/1/1 10:30,258.061,203.678,-3.174,253.132,47.9654,0.182907,3.7
2024/1/1 11:00,278.29,230.646,-2.769,271.597,46.2021,0.183025,3.7
2024/1/1 11:30,332.973,295.668,-1.883,287.635,46.329,0.182994,3.7
2024/1/1 12:00,216.102,206.914,-2.264,267.116,49.3157,0.182701,3.7
2024/1/1 12:30,131.701,112.801,-2.102,267.817,49.3866,0.183118,3.637
2024/1/1 13:00,141.258,122.183,-1.954,269.188,49.3296,0.182538,3.6
2024/1/1 13:30,139.733,109.655,-1.758,279.438,48.2796,0.18281,3.6
2024/1/1 14:00,174.569,115.395,-1.61,278.084,48.645,0.182889,3.6
2024/1/1 14:30,223.826,166.036,-1.305,292.625,47.6286,0.182624,3.6
2024/1/1 15:00,168.975,107.25,-0.755,300.602,47.4021,0.182526,3.6
2024/1/1 15:30,69.6321,36.2472,-0.943,290.232,48.3851,0.182673,3.6
2024/1/1 16:00,31.8997,4.30233,-0.987,293.293,48.2008,0.182135,3.6
2024/1/1 16:30,15.1068,-13.5319,-1.034,295.945,48.206,0.183225,3.6
2024/1/1 17:00,5.71368,-21.4474,-1.119,281.859,49.2575,0.182873,3.6
2024/1/1 17:30,1.27771,-40.6685,-1.296,253.579,52.5404,0.182793,3.6
2024/1/1 18:00,0.94467,-55.189,-1.757,226.533,55.6478,0.182831,3.6
2024/1/1 18:30,0.950383,-49.465,-2.126,208.286,57.8789,0.183325,3.6
2024/1/1 19:00,0.942239,-62.1076,-2.235,202.095,58.3404,0.18297,3.6
2024/1/1 19:30,0.953599,-66.4435,-2.769,184.824,60.3467,0.182819,3.6
2024/1/1 20:00,0.946512,-66.1718,-3.02,177.891,61.1792,0.183086,3.6
2024/1/1 20:30,0.950737,-65.688,-3.235,170.855,62.0195,0.18291,3.6
2024/1/1 21:00,0.942836,-65.2034,-3.383,169.959,61.8574,0.182572,3.6
2024/1/1 21:30,0.931672,-64.3952,-3.563,166.069,62.273,0.182913,3.6
2024/1/1 22:00,0.934661,-63.707,-3.619,165.505,62.1722,0.183199,3.663
2024/1/1 22:30,0.92602,-63.5693,-3.736,162.464,62.5289,0.182858,3.7
2024/1/1 23:00,0.935675,-63.1987,-3.871,157.531,63.3135,0.183222,3.7
2024/1/1 23:30,0.929605,-63.0628,-3.773,161.414,62.7456,0.183215,3.7
2024/1/2 0:00,0.933299,-62.4155,-3.761,158.133,63.4805,0.18248,3.7
2024/1/2 0:30,0.931055,-61.5074,-4.03,148.479,65.0343,0.183089,3.7
2024/1/2 1:00,0.933715,-62.3361,-4.077,149.088,64.8917,0.183077,3.7
2024/1/2 1:30,0.935403,-61.7212,-4.004,150.842,64.6577,0.182924,3.7
2024/1/2 2:00,0.92713,-61.0151,-3.94,150.005,64.8334,0.183262,3.7
2024/1/2 2:30,0.931825,-59.073,-4.116,146.004,65.5023,0.182639,3.67
2024/1/2 3:00,0.938498,-54.6257,-3.886,151.407,64.9196,0.182945,3.6
2024/1/2 3:30,0.952805,-53.2961,-3.715,157.309,63.9821,0.182734,3.6
2024/1/2 4:00,0.940592,-50.8035,-3.705,158.345,63.9467,0.183187,3.6
2024/1/2 4:30,0.939459,-51.8362,-4.089,136.576,68.005,0.182985,3.6
2024/1/2 5:00,0.933404,-53.5849,-4.13,134.474,68.4379,0.1835,3.6
2024/1/2 5:30,0.941493,-56.0762,-3.922,140.087,67.3198,0.182837,3.6
2024/1/2 6:00,0.937871,-59.0448,-3.909,143.881,66.5397,0.183961,3.6
2024/1/2 6:30,0.939244,-62.5971,-3.744,146.563,66.1883,0.182756,3.6
2024/1/2 7:00,0.941618,-61.9309,-3.268,170.386,62.0384,0.182985,3.6
2024/1/2 7:30,0.938144,-63.3446,-2.38,205.24,57.2794,0.183367,3.6
2024/1/2 8:00,4.23499,-64.9187,-1.848,222.864,55.1252,0.183159,3.6
2024/1/2 8:30,16.5825,-53.1923,-4.158,139.097,67.5745,0.182987,3.6
2024/1/2 9:00,31.499,-35.4939,-4.334,135.157,68.1645,0.183279,3.6
2024/1/2 9:30,99.2297,47.5015,-3.235,182.361,61.001,0.18342,3.6
2024/1/2 10:00,134.606,90.4075,-3.595,166.427,64.0948,0.182612,3.57
2024/1/2 10:30,116.254,75.1054,-3.636,169.2,63.4092,0.183185,3.5
2024/1/2 11:00,132.471,96.6934,-1.569,247.144,54.2844,0.182863,3.5
2024/1/2 11:30,160.56,114.967,-1.542,235.777,56.4811,0.182972,3.5
2024/1/2 12:00,159.92,126.319,-1.567,229.216,58.1356,0.1829,3.5
2024/1/2 12:30,161.721,130.746,-1.135,240.717,57.4118,0.182681,3.5
2024/1/2 13:00,140.371,105.388,0.241,301.133,51.3184,0.182782,3.5
2024/1/2 13:30,169.186,126.563,-0.592,253.61,56.9372,0.182493,3.5
2024/1/2 14:00,178.049,131.919,0.803,305.059,52.9895,0.182263,3.5
2024/1/2 14:30,149.85,102.785,0.999,303.026,53.765,0.182936,3.5
2024/1/2 15:00,201.045,133.294,1.986,338.991,50.9962,0.182446,3.5
2024/1/2 15:30,190.952,89.4764,4.506,459.116,42.3861,0.182551,3.5
2024/1/2 16:00,114.897,16.3162,5.221,499.141,38.9934,0.182344,3.5
2024/1/2 16:30,53.1118,-37.1485,3.751,434.977,42.5506,0.182739,3.5
2024/1/2 17:00,14.883,-68.7297,3.428,461.138,36.6875,0.182621,3.5
2024/1/2 17:30,1.50863,-76.3116,3.126,470.923,33.058,0.183081,3.5
2024/1/2 18:00,0.975198,-78.0328,3.401,496.856,30.2039,0.183353,3.5
2024/1/2 18:30,0.953382,-77.2446,2.271,432.199,34.5264,0.183446,3.5
2024/1/2 19:00,0.955376,-80.8577,2.947,507.318,27.5755,0.182844,3.5
2024/1/2 19:30,0.953711,-85.5011,4.438,601.407,21.6995,0.182929,3.5
2024/1/2 20:00,0.961702,-86.368,4.191,597.633,20.7902,0.18332,3.5
2024/1/2 20:30,0.96382,-84.9244,3.51,556.429,22.054,0.182775,3.53
2024/1/2 21:00,0.95445,-85.1167,3.221,556.954,21.2436,0.183831,3.6
2024/1/2 21:30,0.962974,-87.243,3.356,567.389,20.4114,0.18276,3.6
2024/1/2 22:00,0.960408,-87.5063,3.035,555.087,20.8357,0.183559,3.6
2024/1/2 22:30,0.95432,-88.4391,2.822,545.441,21.1358,0.183701,3.6
2024/1/2 23:00,0.958041,-88.4093,2.593,534.765,21.4924,0.182576,3.6
2024/1/2 23:30,0.975704,-87.6251,2.146,506.836,23.0602,0.183326,3.6
2024/1/3 0:00,0.961127,-87.4888,1.712,483.066,24.4821,0.182991,3.6
2024/1/3 0:30,0.954791,-87.4018,1.458,469.762,25.3583,0.182918,3.6
2024/1/3 1:00,0.99092,-88.2296,1.356,464.487,25.785,0.183362,3.6
2024/1/3 1:30,0.959781,-87.6397,0.887,441.858,27.188,0.183425,3.6
2024/1/3 2:00,0.966673,-86.938,0.539,424.352,28.1183,0.183029,3.6
2024/1/3 2:30,0.949233,-87.1822,0.301,418.677,28.1589,0.183679,3.6
2024/1/3 3:00,0.946463,-87.3996,0.25,420.94,27.3957,0.182766,3.6
2024/1/3 3:30,0.937904,-87.5466,0.336,427.746,26.6141,0.183518,3.6
2024/1/3 4:00,0.943836,-88.0004,0.338,429.306,26.4091,0.182754,3.6
2024/1/3 4:30,0.945971,-87.636,0.251,426.645,26.3185,0.18362,3.6
2024/1/3 5:00,0.944385,-87.7184,0.153,423.176,26.3658,0.18334,3.6
2024/1/3 5:30,0.953961,-87.6701,0.229,426.889,26.1002,0.182758,3.6
2024/1/3 6:00,0.954415,-86.4089,-0.051,411.691,27.1532,0.182858,3.6
2024/1/3 6:30,0.948222,-85.9066,0.002,412.479,27.4391,0.183509,3.6
2024/1/3 7:00,0.944347,-85.574,0.158,417.918,27.4835,0.182601,3.6
2024/1/3 7:30,0.957768,-86.9013,0.696,443.856,25.7833,0.183285,3.6
2024/1/3 8:00,6.68544,-84.3474,0.376,427.579,26.5953,0.183414,3.6
2024/1/3 8:30,22.5095,-72.6201,0.049,415.194,27.1769,0.182729,3.6
2024/1/3 9:00,35.6807,-62.3708,0.153,426.367,26.3765,0.183115,3.6
2024/1/3 9:30,164.514,90.063,1.209,497.296,23.0409,0.182894,3.6
2024/1/3 10:00,252.001,169.366,1.692,531.38,22.5008,0.182561,3.6
2024/1/3 10:30,310.573,224.726,2.715,581.246,21.0012,0.182845,3.6
2024/1/3 11:00,355.769,275.73,3.011,609.935,20.2067,0.182345,3.6
2024/1/3 11:30,383.575,311.58,3.659,650.967,18.6747,0.182798,3.6
2024/1/3 12:00,411.741,336.719,3.882,629.207,21.4121,0.18288,3.6
2024/1/3 12:30,441.039,352.364,3.027,587.666,23.3157,0.182563,3.6
2024/1/3 13:00,436.279,341.622,3.215,599.727,23.4384,0.18251,3.6
2024/1/3 13:30,408.881,309.658,3.417,597.708,23.9257,0.18264,3.6
2024/1/3 14:00,395.196,274.024,3.623,609.414,23.4311,0.182702,3.6
2024/1/3 14:30,348.425,222.458,4.073,635.546,21.8876,0.183068,3.6
2024/1/3 15:00,290.911,162.678,4.42,618.681,21.887,0.182664,3.6
2024/1/3 15:30,223.204,96.0781,4.803,633.546,21.6668,0.182178,3.6
2024/1/3 16:00,146.263,25.4013,4.808,631.816,21.9166,0.18297,3.6
2024/1/3 16:30,73.1527,-35.8917,4.353,601.843,23.6438,0.182729,3.663
2024/1/3 17:00,18.1725,-78.7727,3.293,532.625,26.3081,0.183214,3.7
2024/1/3 17:30,1.69067,-85.1842,2.201,455.235,30.7436,0.182959,3.7
2024/1/3 18:00,0.951526,-84.6241,1.505,428.326,31.7795,0.183191,3.7
2024/1/3 18:30,0.957468,-82.4468,1.011,409.594,32.2596,0.182888,3.7
2024/1/3 19:00,0.941899,-81.2138,0.689,383.388,35.1798,0.183193,3.7
2024/1/3 19:30,0.950261,-79.5254,0.405,362.008,37.3565,0.18313,3.7
2024/1/3 20:00,0.939253,-79.1221,0.139,341.355,40.0707,0.182954,3.763
2024/1/3 20:30,0.957157,-77.1266,0.022,326.457,42.2258,0.183509,3.8
2024/1/3 21:00,0.958943,-76.7754,-0.224,305.77,44.9108,0.183371,3.8
2024/1/3 21:30,0.944124,-75.685,-0.896,281.053,47.1491,0.182742,3.8
2024/1/3 22:00,0.947713,-74.3771,-1.46,259.953,48.9338,0.183375,3.8
2024/1/3 22:30,0.936559,-73.1402,-1.908,243.761,50.6701,0.183704,3.8
2024/1/3 23:00,0.940893,-72.0804,-2.208,225.027,53.4281,0.1834,3.8
2024/1/3 23:30,0.931367,-71.3212,-2.326,225.377,53.1108,0.183312,3.8
2024/1/4 0:00,0.928974,-70.5255,-2.289,225.732,52.8686,0.183611,3.8
2024/1/4 0:30,0.929562,-70.3042,-2.666,213.383,54.3453,0.183111,3.8
2024/1/4 1:00,0.928985,-68.7115,-3.237,191.308,57.1927,0.182981,3.8
2024/1/4 1:30,0.933659,-68.9144,-3.423,192.337,56.6494,0.182759,3.8
2024/1/4 2:00,0.932399,-68.1972,-3.4,195.132,56.0547,0.182442,3.8
2024/1/4 2:30,0.931734,-67.3663,-3.646,184.692,57.5235,0.183418,3.8
2024/1/4 3:00,0.938072,-68.7183,-3.69,190.785,56.0881,0.183066,3.8
2024/1/4 3:30,0.933317,-67.0767,-3.948,188.012,55.9214,0.183176,3.8
2024/1/4 4:00,0.93152,-66.5634,-4.225,180.61,56.8359,0.182857,3.8
2024/1/4 4:30,0.935597,-65.4459,-4.325,179.183,56.7885,0.18272,3.8
2024/1/4 5:00,0.933183,-64.9417,-4.269,179.025,56.9567,0.182863,3.8
2024/1/4 5:30,0.935838,-63.9551,-4.582,173.437,57.5096,0.182977,3.8
2024/1/4 6:00,0.934921,-63.94,-4.391,180.477,56.4383,0.183794,3.8
2024/1/4 6:30,0.924158,-64.0887,-4.648,175.891,56.752,0.18321,3.8
2024/1/4 7:00,0.922216,-63.4195,-4.545,180.589,55.7259,0.183123,3.8
2024/1/4 7:30,0.931931,-62.1849,-4.841,173.461,56.581,0.183959,3.8
2024/1/4 8:00,6.21452,-58.8252,-4.805,176.256,56.1676,0.183401,3.8
2024/1/4 8:30,25.5593,-41.8849,-3.981,199.246,53.3889,0.183458,3.8
2024/1/4 9:00,55.3467,-12.8673,-3.457,221.812,50.9919,0.183292,3.8
2024/1/4 9:30,138.762,93.4664,-2.936,243.566,50.1842,0.182791,3.737
2024/1/4 10:00,206.797,151.948,-1.031,324.324,43.2213,0.182507,3.7
2024/1/4 10:30,273.264,212.672,-0.753,328.302,43.407,0.182789,3.7
2024/1/4 11:00,325.986,267.315,-0.374,358.483,41.3198,0.182442,3.7
2024/1/4 11:30,349.928,302.142,0.403,383.849,40.7818,0.182648,3.7
2024/1/4 12:00,371.778,317.092,2.204,459.543,36.9306,0.182838,3.7
2024/1/4 12:30,397.633,320.197,4.832,615.447,30.2866,0.182741,3.7
2024/1/4 13:00,402.262,318.079,5.703,677.699,27.575,0.182307,3.7
2024/1/4 13:30,382.571,291.228,6.611,729.585,25.5484,0.182405,3.7
2024/1/4 14:00,392.4165,304.6535,6.157,703.642,26.5617,0.182356,3.7
2024/1/4 14:30,328.6197273,215.1458545,4.440636364,624.0151818,24.17189091,0.182753545,3.790909091
2024/1/4 15:00,271.0711,151.60131,4.5153,619.1188,23.91019,0.1828601,3.8
2024/1/4 15:30,207.70099,90.86594,4.6412,613.3177,24.48193,0.1829144,3.8063
2024/1/4 16:00,143.18759,32.30611,4.4608,585.3278,26.20712,0.1829611,3.8163
2024/1/4 16:30,87.160607,-15.69201,3.8931,542.6482,28.93837,0.1829539,3.8263
2024/1/4 17:00,44.6333238,-50.28723,3.1106,491.6303,32.01679,0.1830715,3.8426
2024/1/4 17:30,17.5301595,-70.8503,2.3079,443.4733,34.66041,0.1831226,3.8626
2024/1/4 18:00,4.3540374,-79.26778,1.5856,404.0705,36.59555,0.1831549,3.8763
2024/1/4 18:30,1.1091136,-79.55538,1.0494,377.8856,37.96714,0.1832026,3.8863
2024/1/4 19:00,0.9479902,-78.48694,0.7772,369.0542,38.20332,0.1832073,3.9026
2024/1/4 19:30,0.9468569,-77.56916,0.6745,368.4462,37.87317,0.1832976,3.9163
2024/1/4 20:00,0.9467059,-76.83857,0.6091,367.306,37.85171,0.1833386,3.9326
2024/1/4 20:30,0.9482906,-75.99965,0.5895,369.554,37.69479,0.1832958,3.9526
2024/1/4 21:00,0.950369,-74.70018,0.5943,374.9046,37.39659,0.1832726,3.9726
2024/1/4 21:30,0.9491341,-74.31701,0.4903,372.8851,37.67348,0.1833729,3.9863
2024/1/4 22:00,0.9480126,-74.27266,0.3191,366.8564,38.39635,0.1833846,3.9963
2024/1/4 22:30,0.9452769,-74.31208,0.0974,360.4984,38.89977,0.1833464,4
2024/1/4 23:00,0.943536091,-75.09321818,-0.060363636,353.6501818,39.38139091,0.183455091,3.990909091
2024/1/4 23:30,0.9530815,-83.1178,2.182,457.7305,31.1658,0.183579,3.9
2024/1/5 0:00,0.949619,-82.718,2.285,461.644,30.9484,0.183686,3.9
2024/1/5 0:30,0.956544,-83.5176,2.079,453.817,31.3832,0.183472,3.9
2024/1/5 1:00,0.946669,-83.0087,1.864,442.955,31.8631,0.18298,3.9
2024/1/5 1:30,0.943567,-83.1754,1.726,438.814,32.0395,0.183196,3.9
2024/1/5 2:00,0.949067,-82.7752,1.548,430.359,32.3688,0.183068,3.9
2024/1/5 2:30,0.969442,-82.1158,1.363,417.297,33.2494,0.18342,3.9
2024/1/5 3:00,0.943793,-81.7318,1.195,406.726,34.3885,0.183076,3.997
2024/1/5 3:30,0.943045,-81.6429,1.166,402.773,34.7571,0.183048,4
2024/1/5 4:00,0.938953,-81.5097,1.091,399.904,35.0179,0.183063,4
2024/1/5 4:30,0.946164,-82.371,1.173,405.177,34.6186,0.183492,4
2024/1/5 5:00,0.957395,-82.8416,1.101,402.04,34.7716,0.182789,4
2024/1/5 5:30,0.945995,-82.5998,0.888,393.905,35.0025,0.183359,4
2024/1/5 6:00,0.949693,-82.5361,0.803,389.362,35.2245,0.183397,4
2024/1/5 6:30,0.937511,-82.1382,0.671,382.547,35.7368,0.183299,4
2024/1/5 7:00,0.952377,-82.161,0.663,387.716,35.1591,0.182796,4
2024/1/5 7:30,0.944866,-81.8911,0.699,388.908,34.8759,0.183276,4
2024/1/5 8:00,6.89655,-77.8036,0.323,372.728,36.0053,0.183218,4
2024/1/5 8:30,24.6865,-61.6344,0.224,369.459,36.2446,0.183302,4
2024/1/5 9:00,47.3731,-34.9854,0.568,394.362,34.3632,0.18312,4
2024/1/5 9:30,185.725,133.617,1.909,489.106,29.4923,0.183338,4
2024/1/5 10:00,263.041,204.801,2.621,533.324,28.0438,0.182912,4
2024/1/5 10:30,390.973,356.642,2.195,495.927,30.4522,0.183126,4
2024/1/5 11:00,239.888,187.066,1.347,443.46,33.2894,0.183256,4
2024/1/5 11:30,380.277,330.407,1.727,473.757,31.8454,0.183026,4
2024/1/5 12:00,390.241,330.225,2.396,505.347,30.4565,0.182714,4
2024/1/5 12:30,416.202,337.661,2.514,519.291,30.018,0.183105,4
2024/1/5 13:00,414.451,328.779,2.994,550.659,28.4719,0.182735,4
2024/1/5 13:30,385.588,296.419,3.414,567.932,27.4057,0.182676,4
2024/1/5 14:00,372.145,260.563,3.914,591.027,26.2569,0.18294,4
2024/1/5 14:30,331.056,211.48,4.365,631.146,24.0743,0.182908,4
2024/1/5 15:00,272.865,153.529,4.944,619.842,24.9102,0.183548,4
2024/1/5 15:30,203.975,88.4893,5.263,629.74,24.8971,0.18256,4
2024/1/5 16:00,126.671,21.3124,4.94,590.43,28.1743,0.183063,4
2024/1/5 16:30,60.4872,-36.875,4.443,540.587,31.7616,0.183456,4
2024/1/5 17:00,16.1745,-72.8876,3.341,454.168,36.9057,0.183229,4
2024/1/5 17:30,1.8155,-78.59,1.486,356.492,43.3661,0.183181,4
2024/1/5 18:00,0.954642,-76.7607,0.736,324.781,45.5686,0.182723,4.063
2024/1/5 18:30,0.944889,-76.4702,0.71,331.082,44.2675,0.183656,4.1
2024/1/5 19:00,0.93678,-75.7277,0.884,365.014,39.577,0.183315,4.1
2024/1/5 19:30,0.947501,-75.0109,0.867,362.936,39.5732,0.18379,4.1
2024/1/5 20:00,0.955683,-73.9677,0.826,382.058,36.4008,0.183233,4.1
