nee_ustar_f,record_time
0.759171702,2024/1/1 0:00
0.862589459,2024/1/1 0:30
0.855076515,2024/1/1 1:00
0.890173386,2024/1/1 1:30
0.884704365,2024/1/1 2:00
0.884673805,2024/1/1 2:30
0.957476692,2024/1/1 3:00
0.934439497,2024/1/1 3:30
0.908322403,2024/1/1 4:00
0.77943513,2024/1/1 4:30
0.784109617,2024/1/1 5:00
0.73866033,2024/1/1 5:30
0.812514116,2024/1/1 6:00
0.827201746,2024/1/1 6:30
0.827201746,2024/1/1 7:00
0.827201746,2024/1/1 7:30
0.675258631,2024/1/1 8:00
-1.44226,2024/1/1 8:30
-0.881354,2024/1/1 9:00
-5.31734,2024/1/1 9:30
-3.43846,2024/1/1 10:00
-8.92639,2024/1/1 10:30
-2.7302,2024/1/1 11:00
-7.21912,2024/1/1 11:30
-0.00594078,2024/1/1 12:00
-1.36012,2024/1/1 12:30
-1.92877,2024/1/1 13:00
-0.855587,2024/1/1 13:30
-1.15317,2024/1/1 14:00
-1.10641,2024/1/1 14:30
-0.851895,2024/1/1 15:00
-0.63791,2024/1/1 15:30
-0.620513,2024/1/1 16:00
-2.24636,2024/1/1 16:30
0.592803868,2024/1/1 17:00
0.839677259,2024/1/1 17:30
0.898411082,2024/1/1 18:00
0.981477194,2024/1/1 18:30
1.01757977,2024/1/1 19:00
0.863010943,2024/1/1 19:30
0.843984313,2024/1/1 20:00
0.833251603,2024/1/1 20:30
0.8410428,2024/1/1 21:00
0.942246026,2024/1/1 21:30
0.916410525,2024/1/1 22:00
0.92925734,2024/1/1 22:30
0.980665512,2024/1/1 23:00
0.93131085,2024/1/1 23:30
0.93131085,2024/1/2 0:00
0.974953809,2024/1/2 0:30
0.974953809,2024/1/2 1:00
0.974953809,2024/1/2 1:30
0.237004,2024/1/2 2:00
0.974953809,2024/1/2 2:30
0.980665512,2024/1/2 3:00
6.61206,2024/1/2 3:30
0.92925734,2024/1/2 4:00
0.974953809,2024/1/2 4:30
0.974953809,2024/1/2 5:00
0.974953809,2024/1/2 5:30
0.980665512,2024/1/2 6:00
0.93131085,2024/1/2 6:30
0.856999005,2024/1/2 7:00
0.895909389,2024/1/2 7:30
5.83103,2024/1/2 8:00
0.847162,2024/1/2 8:30
-1.64608,2024/1/2 9:00
1.51452,2024/1/2 9:30
-0.325741,2024/1/2 10:00
4.95292,2024/1/2 10:30
-0.253621482,2024/1/2 11:00
9.61174,2024/1/2 11:30
-0.662221019,2024/1/2 12:00
-4.98952,2024/1/2 12:30
-0.845801981,2024/1/2 13:00
-0.13832,2024/1/2 13:30
-0.0249975,2024/1/2 14:00
-0.710178,2024/1/2 14:30
-1.53789135,2024/1/2 15:00
0.5329841,2024/1/2 15:30
-0.142711,2024/1/2 16:00
-0.4991598,2024/1/2 16:30
-0.670625,2024/1/2 17:00
0.974004458,2024/1/2 17:30
1.13698424,2024/1/2 18:00
1.004669835,2024/1/2 18:30
0.94370538,2024/1/2 19:00
1.442075654,2024/1/2 19:30
0.505845,2024/1/2 20:00
1.36131,2024/1/2 20:30
1.46873,2024/1/2 21:00
1.10105,2024/1/2 21:30
0.777408,2024/1/2 22:00
1.51737,2024/1/2 22:30
1.35277,2024/1/2 23:00
1.47027,2024/1/2 23:30
0.752084,2024/1/3 0:00
1.27158,2024/1/3 0:30
0.698241,2024/1/3 1:00
0.642677,2024/1/3 1:30
0.394365,2024/1/3 2:00
0.353162,2024/1/3 2:30
0.893847,2024/1/3 3:00
0.496876,2024/1/3 3:30
-0.0557007,2024/1/3 4:00
1.38884,2024/1/3 4:30
0.801208,2024/1/3 5:00
0.679497,2024/1/3 5:30
0.4022,2024/1/3 6:00
1.031,2024/1/3 6:30
1.43341,2024/1/3 7:00
1.4904,2024/1/3 7:30
1.31838,2024/1/3 8:00
0.340099,2024/1/3 8:30
0.0447854,2024/1/3 9:00
-0.696059,2024/1/3 9:30
-1.92693,2024/1/3 10:00
-4.74422,2024/1/3 10:30
-1.51456,2024/1/3 11:00
-5.05531,2024/1/3 11:30
-2.86131,2024/1/3 12:00
-1.23024,2024/1/3 12:30
-1.57396,2024/1/3 13:00
-1.17878,2024/1/3 13:30
-1.15781,2024/1/3 14:00
-1.56134,2024/1/3 14:30
-3.02094,2024/1/3 15:00
2.05665,2024/1/3 15:30
0.653642,2024/1/3 16:00
-2.25347,2024/1/3 16:30
-0.428267,2024/1/3 17:00
0.972812389,2024/1/3 17:30
0.979782636,2024/1/3 18:00
0.804218983,2024/1/3 18:30
0.813149083,2024/1/3 19:00
0.863685303,2024/1/3 19:30
0.847453421,2024/1/3 20:00
0.853464801,2024/1/3 20:30
0.83119134,2024/1/3 21:00
0.0399108,2024/1/3 21:30
0.814318447,2024/1/3 22:00
0.936279705,2024/1/3 22:30
0.962453052,2024/1/3 23:00
0.952196936,2024/1/3 23:30
0.907964726,2024/1/4 0:00
0.852192445,2024/1/4 0:30
0.800055592,2024/1/4 1:00
0.804113846,2024/1/4 1:30
0.804113846,2024/1/4 2:00
0.837561224,2024/1/4 2:30
0.845988252,2024/1/4 3:00
0.924300862,2024/1/4 3:30
0.908322403,2024/1/4 4:00
0.942389803,2024/1/4 4:30
0.908322403,2024/1/4 5:00
0.77943513,2024/1/4 5:30
0.739125652,2024/1/4 6:00
0.65932513,2024/1/4 6:30
0.654943354,2024/1/4 7:00
0.572844604,2024/1/4 7:30
2.54693,2024/1/4 8:00
1.07228,2024/1/4 8:30
0.224792,2024/1/4 9:00
0.244127,2024/1/4 9:30
-3.85338,2024/1/4 10:00
-2.56728,2024/1/4 10:30
-2.95485,2024/1/4 11:00
-3.75979,2024/1/4 11:30
0.523591,2024/1/4 12:00
1.79155,2024/1/4 12:30
-3.231471,2024/1/4 13:00
1.138617333,2024/1/4 13:30
-2.2527892,2024/1/4 14:00
-1.9166754,2024/1/4 14:30
-1.6776124,2024/1/4 15:00
-1.4027418,2024/1/4 15:30
-0.4906703,2024/1/4 16:00
0.075462467,2024/1/4 16:30
-0.051833971,2024/1/4 17:00
-0.15781476,2024/1/4 17:30
0.1624334,2024/1/4 18:00
0.623744425,2024/1/4 18:30
0.9862675,2024/1/4 19:00
0.853403,2024/1/4 19:30
0.941306857,2024/1/4 20:00
1.2158254,2024/1/4 20:30
1.2153036,2024/1/4 21:00
1.1896177,2024/1/4 21:30
1.03182596,2024/1/4 22:00
1.03182596,2024/1/4 22:30
0.9655686,2024/1/4 23:00
1.61132,2024/1/4 23:30
1.60855,2024/1/5 0:00
1.61409,2024/1/5 0:30
1.23475,2024/1/5 1:00
1.00953,2024/1/5 1:30
0.866037,2024/1/5 2:00
1.87411,2024/1/5 2:30
1.55572,2024/1/5 3:00
1.00611,2024/1/5 3:30
1.32967,2024/1/5 4:00
1.08038,2024/1/5 4:30
0.89312,2024/1/5 5:00
2.77844,2024/1/5 5:30
0.136129,2024/1/5 6:00
0.132996,2024/1/5 6:30
1.46884,2024/1/5 7:00
-0.0306976,2024/1/5 7:30
0.861195156,2024/1/5 8:00
0.507996,2024/1/5 8:30
-0.0494051,2024/1/5 9:00
-2.38315,2024/1/5 9:30
-4.66666,2024/1/5 10:00
1.15495,2024/1/5 10:30
-0.663114,2024/1/5 11:00
-0.935277,2024/1/5 11:30
-0.51947,2024/1/5 12:00
-1.06593,2024/1/5 12:30
-0.745178,2024/1/5 13:00
-0.785614,2024/1/5 13:30
-2.86727,2024/1/5 14:00
-7.06194,2024/1/5 14:30
-2.57506,2024/1/5 15:00
-1.01465,2024/1/5 15:30
-0.227406,2024/1/5 16:00
0.977096,2024/1/5 16:30
0.925702,2024/1/5 17:00
-0.0101348,2024/1/5 17:30
0.950950264,2024/1/5 18:00
0.945260377,2024/1/5 18:30
0.931920874,2024/1/5 19:00
0.930902014,2024/1/5 19:30
0.929109101,2024/1/5 20:00
1.066970922,2024/1/5 20:30
1.067448553,2024/1/5 21:00
2.39174,2024/1/5 21:30
1.21426,2024/1/5 22:00
1.11256,2024/1/5 22:30
0.400659,2024/1/5 23:00
1.066970922,2024/1/5 23:30
0.491814,2024/1/6 0:00
0.978560816,2024/1/6 0:30
0.883959562,2024/1/6 1:00
1.97176,2024/1/6 1:30
0.5784,2024/1/6 2:00
1.79556,2024/1/6 2:30
1.29563,2024/1/6 3:00
0.998601784,2024/1/6 3:30
1.58112,2024/1/6 4:00
-0.147767,2024/1/6 4:30
1.007365511,2024/1/6 5:00
-0.183062,2024/1/6 5:30
0.460011,2024/1/6 6:00
0.767561149,2024/1/6 6:30
0.862762684,2024/1/6 7:00
0.832985483,2024/1/6 7:30
0.710641266,2024/1/6 8:00
-1.82387,2024/1/6 8:30
-0.451427,2024/1/6 9:00
-1.07176,2024/1/6 9:30
-2.53311,2024/1/6 10:00
-3.5857,2024/1/6 10:30
-3.36329,2024/1/6 11:00
-5.6741,2024/1/6 11:30
-5.52627,2024/1/6 12:00
-5.73857,2024/1/6 12:30
-4.14513,2024/1/6 13:00
-2.81855,2024/1/6 13:30
-5.87998,2024/1/6 14:00
-1.15157,2024/1/6 14:30
