TIMESTAMP,NEE_VUT_REF,SW_IN_F,NETRAD,TA_F_MDS,VPD_F_MDS,RH,SWC_F_MDS_1,TS_F_MDS_1
1/1/2023 00:00:00,0.729222495,1.04542,-70.9504,-0.445,431.125,21.2869,0.169903,2.2
1/1/2023 00:30:00,0.768487038,1.0486,-70.858,0.158,449.473,20.5899,0.169583,2.2
1/1/2023 01:00:00,0.66717597,1.04583,-69.7698,-1.692,378.912,24.7565,0.169483,2.2
1/1/2023 01:30:00,0.626227599,1.03936,-70.7386,-2.385,356.947,25.8576,0.170115,2.2
1/1/2023 02:00:00,0.717417656,1.05178,-67.4305,-0.781,413.865,22.0081,0.169897,2.2
1/1/2023 02:30:00,0.665561252,1.04828,-70.1209,-1.2,400.046,22.868,0.169726,2.293
1/1/2023 03:00:00,0.637683871,1.04245,-70.7945,-1.409,385.694,23.9895,0.170256,2.3
1/1/2023 03:30:00,0.670212024,1.04589,-71.4578,-1.023,399.152,23.4772,0.169847,2.3
1/1/2023 04:00:00,0.635909268,1.05231,-70.8968,-1.35,388.196,23.9667,0.169931,2.3
1/1/2023 04:30:00,0.665401756,1.04225,-69.2329,-1.873,368.699,24.9332,0.169709,2.3
1/1/2023 05:00:00,0.632263781,1.0475,-69.6592,-2.444,352.774,25.6739,0.169587,2.3
1/1/2023 05:30:00,0.634778483,1.05207,-69.073,-2.28,356.896,25.2668,0.169786,2.3
1/1/2023 06:00:00,0.627136759,1.05498,-69.1752,-2.721,344.34,25.9844,0.169633,2.3
1/1/2023 06:30:00,2.4283,1.03952,-67.7011,-2.863,337.94,26.3615,0.169983,2.3
1/1/2023 07:00:00,0.569577346,1.05754,-67.8423,-3.08,331.045,26.8465,0.17006,2.3
1/1/2023 07:30:00,0.575347858,1.06787,-66.9825,-3.178,325.933,27.281,0.170212,2.24
1/1/2023 08:00:00,0.465695595,7.28748,-62.6034,-3.192,327.552,27.0559,0.169697,2.2
1/1/2023 08:30:00,0.894139,27.5275,-47.3535,-3.376,321.652,27.6492,0.170022,2.2
1/1/2023 09:00:00,-4.83127,47.9309,-32.5326,-3.573,316.538,28.4698,0.170189,2.2
1/1/2023 09:30:00,-0.507768,145.032,94.9908,-2.485,366.835,25.5544,0.170156,2.2
1/1/2023 10:00:00,-1.97582,225.49,166.879,-1.22,405.627,24.3593,0.169345,2.2
